conversation_id_str,created_at,favorite_count,full_text,id_str,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,label,product,clean_text,no_slang,no_stopwords,stemmed_text
1.94362249376945e+18,2025-07-12,0,@cagvity Wardah mineral botanica sama cosrx pokoknya yg mengandung salicylic acid ,1.944009464128189e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944009464128188833,1.2160331821112607e+18,0.0,mineral botanica, Wardah mineral botanica sama cosrx pokoknya yg mengandung salicylic acid ,wardah mineral botanica sama cosrx pokoknya yang mengandung salicylic acid,wardah mineral botanica cosrx pokoknya mengandung salicylic acid,wardah mineral botanica cosrx pokok kandung salicylic acid
1.94362249376945e+18,2025-07-12,0,@cagvity mineral botanica sih murah trs awet,1.9440064678012723e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1944006467801272379,1.5372817352509563e+18,1.0,mineral botanica, mineral botanica sih murah trs awet,mineral botanica sih murah terus awet,mineral botanica sih murah awet,mineral botanica sih murah awet
1.94362249376945e+18,2025-07-12,0,@cagvity Apa aja yg lagi diskon but repurchase 2x itu mineral botanica biru sm shinzui. Bersih tapi ngga bikin ketarik buat kulit kering. Ngga perih buat mata sensitif dan no paraben. Yang jelas harganya sangat friendly utk skincare daily,1.9439970011355016e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943997001135501732,222777285.0,1.0,mineral botanica, Apa aja yg lagi diskon but repurchase x itu mineral botanica biru sm shinzui Bersih tapi ngga bikin ketarik buat kulit kering Ngga perih buat mata sensitif dan no paraben Yang jelas harganya sangat friendly utk skincare daily,apa saja yang lagi diskon but repurchase kali itu mineral botanica biru sama shinzui bersih tapi enggak bikin tertarik buat kulit kering enggak perih buat mata sensitif dan no paraben yang jelas harganya sangat friendly untuk skincare daily,diskon repurchase kali mineral botanica biru shinzui bersih bikin tertarik kulit kering perih mata sensitif paraben harganya friendly skincare daily,diskon repurchase kali mineral botanica biru shinzui bersih bikin tarik kulit kering perih mata sensitif paraben harga friendly skincare daily
1.94362249376945e+18,2025-07-12,0,@cagvity Mineral Botanica yg pink bagus bet dah,1.943937236137128e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943937236137128193,1.818980453782872e+18,1.0,mineral botanica, Mineral Botanica yg pink bagus bet dah,mineral botanica yang pink bagus banget deh,mineral botanica pink bagus banget deh,mineral botanica pink bagus banget deh
1.94362249376945e+18,2025-07-12,0,@cagvity Ga akan pernah bosen rekomendasiin mineral botanica!!! Bagus bgt!,1.9439320652439675e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943932065243967540,1.506611849395327e+18,1.0,mineral botanica, Ga akan pernah bosen rekomendasiin mineral botanica Bagus bgt,enggak akan pernah bosan merekomendasikan mineral botanica bagus banget,bosan merekomendasikan mineral botanica bagus banget,bosan rekomendasi mineral botanica bagus banget
1.94362249376945e+18,2025-07-12,0,@cagvity Mineral botanica. Kemarin pk yg biru. Ini pakai yg pink krn ada formula anti acnenya,1.9439066618377748e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943906661837774966,86001301.0,1.0,mineral botanica, Mineral botanica Kemarin pk yg biru Ini pakai yg pink krn ada formula anti acnenya,mineral botanica kemarin pakai yang biru ini pakai yang pink karena ada formula anti acnenya,mineral botanica kemarin pakai biru pakai pink formula anti acnenya,mineral botanica kemarin pakai biru pakai pink formula anti acnenya
1.94362249376945e+18,2025-07-12,0,@cagvity mineral botanica yang bluee,1.943906391217124e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943906391217123655,1.5129617604622623e+18,0.0,mineral botanica, mineral botanica yang bluee,mineral botanica yang bluee,mineral botanica bluee,mineral botanica bluee
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yang pink kalo lagi breakout wardah vitamin c kalo lagi pengen cerahin,1.9437052396576036e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943705239657603303,1.126000326962602e+18,1.0,mineral botanica, mineral botanica yang pink kalo lagi breakout wardah vitamin c kalo lagi pengen cerahin,mineral botanica yang pink kalo lagi breakout wardah vitamin sih kalo lagi ingin cerahin,mineral botanica pink kalo breakout wardah vitamin sih kalo cerahin,mineral botanica pink kalo breakout wardah vitamin sih kalo cerahin
1.94362249376945e+18,2025-07-11,0,@cagvity HEAR ME OUT MINERAL BOTANICA BAGUS BGT,1.943696486165795e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943696486165795020,1.1680823538953298e+18,1.0,mineral botanica, HEAR ME OUT MINERAL BOTANICA BAGUS BGT,hear me out mineral botanica bagus banget,hear mineral botanica bagus banget,hear mineral botanica bagus banget
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica! fyi awal taun lalu lagi krisis bgt trs minta saran ke tmnku dia ngasih tau fw itu... aku co saat itu juga dan ternyata cocok bgtt wkwk udh repurchase 5x,1.943685783258579e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943685783258578950,1.5228656690411766e+18,1.0,mineral botanica, mineral botanica fyi awal taun lalu lagi krisis bgt trs minta saran ke tmnku dia ngasih tau fw itu aku co saat itu juga dan ternyata cocok bgtt wkwk udh repurchase x,mineral botanica fyi awal tahun lalu lagi krisis banget terus meminta saran ke tmnku dia mengasih tau fw itu aku cowok saat itu juga dan ternyata cocok banget wkwk sudah repurchase kali,mineral botanica fyi krisis banget saran tmnku mengasih tau fw cowok cocok banget wkwk repurchase kali,mineral botanica fyi krisis banget saran tmnku asih tau fw cowok cocok banget wkwk repurchase kali
1.943681726695248e+18,2025-07-11,0,@ppawspatroll Mineral botanica atau hadalabo gokyujun,1.943684777141285e+18,ppawspatroll,in,0,0,0,https://x.com/undefined/status/1943684777141285104,1.3184001825730929e+18,0.0,mineral botanica, Mineral botanica atau hadalabo gokyujun,mineral botanica atau hadalabo gokyujun,mineral botanica hadalabo gokyujun,mineral botanica hadalabo gokyujun
1.94362249376945e+18,2025-07-11,0,@cagvity hada labo Shiro Jyun sama mineral botanica biruu,1.943680714207289e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943680714207289426,1.3189190870162227e+18,0.0,mineral botanica, hada labo Shiro Jyun sama mineral botanica biruu,hada labo shiro jyun sama mineral botanica biruu,hada labo shiro jyun mineral botanica biruu,hada labo shiro jyun mineral botanica biruu
1.94362249376945e+18,2025-07-11,88,@cagvity MINERAL BOTANICA HARGA MATIII!!! Secintaaa ituuu!!! Udah habis berbotol² akuu Bahkan cowok ku aku saranin pakai itu wajahnya super duper lebih fresh dan kinclong,1.9436747001289772e+18,cagvity,in,0,3,1,https://x.com/undefined/status/1943674700128977301,1.5899699946115686e+18,1.0,mineral botanica, MINERAL BOTANICA HARGA MATIII Secintaaa ituuu Udah habis berbotol akuu Bahkan cowok ku aku saranin pakai itu wajahnya super duper lebih fresh dan kinclong,mineral botanica harga matiii secintaaa itu sudah habis berbotol aku bahkan cowok ku aku menyarankan pakai itu wajahnya super duper lebih fresh dan kinclong,mineral botanica harga matiii secintaaa habis berbotol cowok ku menyarankan pakai wajahnya super duper fresh kinclong,mineral botanica harga matiii secintaaa habis botol cowok ku saran pakai wajah super duper fresh kinclong
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral Botanica yg pink gk bikin kering ketarik ntuk aku yg oily gk tau deh udh repurchase,1.943672136670888e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943672136670888310,1.1203293601441014e+18,1.0,mineral botanica, Mineral Botanica yg pink gk bikin kering ketarik ntuk aku yg oily gk tau deh udh repurchase,mineral botanica yang pink enggak bikin kering tertarik ntuk aku yang oily enggak tau deh sudah repurchase,mineral botanica pink bikin kering tertarik ntuk oily tau deh repurchase,mineral botanica pink bikin kering tarik ntuk oily tau deh repurchase
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica murce tp bagus 100ml harga gag sampe 25k,1.9436682421968855e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943668242196885880,1.258619904346874e+18,1.0,mineral botanica, Mineral botanica murce tp bagus ml harga gag sampe k,mineral botanica murce tapi bagus ml harga enggak sampai kak,mineral botanica murce bagus ml harga kak,mineral botanica murce bagus ml harga kak
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica warna biru selain harganya murah dia juga bantu hilangin chicken skin di wajah aku,1.943664571006215e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943664571006214632,761465094.0,1.0,mineral botanica, Mineral botanica warna biru selain harganya murah dia juga bantu hilangin chicken skin di wajah aku,mineral botanica warna biru selain harganya murah dia juga bantu menghilangkan chicken skin di wajah aku,mineral botanica warna biru harganya murah bantu menghilangkan chicken skin wajah,mineral botanica warna biru harga murah bantu hilang chicken skin wajah
1.94362249376945e+18,2025-07-11,0,@cagvity Dulu aku tim sabun pepaya rdl sekarang pindah ke fw mineral botanica,1.943664253560398e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943664253560397965,8.871645497527992e+17,1.0,mineral botanica, Dulu aku tim sabun pepaya rdl sekarang pindah ke fw mineral botanica,dulu aku tim sabun pepaya rdl sekarang pindah ke fw mineral botanica,tim sabun pepaya rdl pindah fw mineral botanica,tim sabun pepaya rdl pindah fw mineral botanica
1.94362249376945e+18,2025-07-11,0,@cagvity mineral Botanica yang pink,1.9436577142796536e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943657714279653523,1.722118194507481e+18,0.0,mineral botanica, mineral Botanica yang pink,mineral botanica yang pink,mineral botanica pink,mineral botanica pink
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica yg pink dari dulu pake ini belum pernah ganti,1.94365716673423e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943657166734229911,2248682316.0,1.0,mineral botanica, Mineral botanica yg pink dari dulu pake ini belum pernah ganti,mineral botanica yang pink dari dulu pakai ini belum pernah ganti,mineral botanica pink pakai ganti,mineral botanica pink pakai ganti
1.94362249376945e+18,2025-07-11,0,@cagvity pake Mineral Botanica yg pink awalnya nyoba doang yg murah eh ternyata cocok,1.9436564812927552e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943656481292755088,1.3082905788455608e+18,1.0,mineral botanica, pake Mineral Botanica yg pink awalnya nyoba doang yg murah eh ternyata cocok,pakai mineral botanica yang pink awalnya mencoba doang yang murah eh ternyata cocok,pakai mineral botanica pink mencoba doang murah eh cocok,pakai mineral botanica pink coba doang murah eh cocok
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica udah abis &gt;5 tube gabikin muka ketarik samsekk enak dah pokonya dipakenya,1.9436564354867487e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943656435486748779,1.1685016341895782e+18,1.0,mineral botanica, mineral botanica udah abis gt tube gabikin muka ketarik samsekk enak dah pokonya dipakenya,mineral botanica sudah habis begitu tube gabikin muka tertarik samsekk enak deh pokoknya dipakenya,mineral botanica habis tube gabikin muka tertarik samsekk enak deh pokoknya dipakenya,mineral botanica habis tube gabikin muka tarik samsekk enak deh pokok dipakenya
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yg biru nder pilih yg murah dr yang termurah ,1.9436557022720983e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943655702272098616,1.304582153251025e+18,1.0,mineral botanica, mineral botanica yg biru nder pilih yg murah dr yang termurah ,mineral botanica yang biru nder pilih yang murah dari yang termurah,mineral botanica biru nder pilih murah termurah,mineral botanica biru nder pilih murah murah
1.94362249376945e+18,2025-07-11,0,@cagvity lagi pak mineral botanica,1.9436535110420644e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943653511042064441,1.099123331486249e+18,0.0,mineral botanica, lagi pak mineral botanica,lagi pak mineral botanica,mineral botanica,mineral botanica
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yg pinkeu,1.943651378725077e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943651378725077102,1.4909347486124974e+18,0.0,mineral botanica, mineral botanica yg pinkeu,mineral botanica yang pinkeu,mineral botanica pinkeu,mineral botanica pinkeu
1.94362249376945e+18,2025-07-11,1,@cagvity mineral botanica dongg yang biruu,1.9436503713832717e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943650371383271536,1.339959640461697e+18,0.0,mineral botanica, mineral botanica dongg yang biruu,mineral botanica dong yang biruu,mineral botanica biruu,mineral botanica biruu
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica pink &amp; the legendary senka face wash senkanya kadang yg perfect whip kadang yg white clay,1.943649218494665e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943649218494664930,1.2499332733183222e+18,1.0,mineral botanica, mineral botanica pink amp the legendary senka face wash senkanya kadang yg perfect whip kadang yg white clay,mineral botanica pink amp the legendary senka face wash senkanya kadang yang perfect whip kadang yang white clay,mineral botanica pink amp legendary senka face wash senkanya kadang perfect whip kadang white clay,mineral botanica pink amp legendary senka face wash senkanya kadang perfect whip kadang white clay
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica 11 asli. dr maba ampe mau smt 3 ini. pdhl tiap hr jg pake 2 kali,1.9436490477531507e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943649047753150820,1.908460513656529e+18,1.0,mineral botanica, mineral botanica  asli dr maba ampe mau smt  ini pdhl tiap hr jg pake  kali,mineral botanica asli dari maba sampai mau smt ini padahal tiap hari juga pakai kali,mineral botanica asli maba smt pakai kali,mineral botanica asli maba smt pakai kali
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yg purifying,1.9436488162315144e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943648816231514306,2963717184.0,0.0,mineral botanica, mineral botanica yg purifying,mineral botanica yang purifying,mineral botanica purifying,mineral botanica purifying
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica beli setiap tanggal kembar atau lg promo gitu bs dapet harga belasan ribuu dan abisnya lumayan lamaa,1.9436484217614543e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943648421761454358,1.4087436621759816e+18,1.0,mineral botanica, mineral botanica beli setiap tanggal kembar atau lg promo gitu bs dapet harga belasan ribuu dan abisnya lumayan lamaa,mineral botanica beli setiap tanggal kembar atau lagi promo begitu bisa dapat harga belasan ribuu dan abisnya lumayan lamaa,mineral botanica beli tanggal kembar promo harga belasan ribuu abisnya lumayan lamaa,mineral botanica beli tanggal kembar promo harga bas ribuu abis lumayan lamaa
1.94362249376945e+18,2025-07-11,0,@cagvity hadalabo atau mineral botanica,1.9436436887200563e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943643688720056320,1.3864776540946637e+18,0.0,mineral botanica, hadalabo atau mineral botanica,hadalabo atau mineral botanica,hadalabo mineral botanica,hadalabo mineral botanica
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yg pink ges (ganti2an sih pink/biru),1.9436435393734656e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943643539373465683,1.2749658184978885e+18,0.0,mineral botanica, mineral botanica yg pink ges gantian sih pinkbiru,mineral botanica yang pink ges gantian sih pinkbiru,mineral botanica pink ges gantian sih pinkbiru,mineral botanica pink ges ganti sih pinkbiru
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica yg biru dah 2 taun ga ganti st oily acne prone dia pake sebiji jagung aja udah berbusa buat semuka tapi ngga bikin ketarikk,1.943642117521244e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943642117521244278,2825767231.0,1.0,mineral botanica, Mineral botanica yg biru dah  taun ga ganti st oily acne prone dia pake sebiji jagung aja udah berbusa buat semuka tapi ngga bikin ketarikk,mineral botanica yang biru deh tahun enggak ganti st oily acne prone dia pakai sebiji jagung saja sudah berbusa buat semuka tapi enggak bikin ketarikk,mineral botanica biru deh ganti st oily acne prone pakai sebiji jagung berbusa semuka bikin ketarikk,mineral botanica biru deh ganti st oily acne prone pakai biji jagung busa muka bikin ketarikk
1.94362249376945e+18,2025-07-11,0,@cagvity pakai mineral botanica murah meriah,1.943641864932037e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943641864932037076,1.4142045389495665e+18,1.0,mineral botanica, pakai mineral botanica murah meriah,pakai mineral botanica murah meriah,pakai mineral botanica murah meriah,pakai mineral botanica murah riah
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yang pink plss bukan karena murah tapi karena itu yang paling cocok di muka ku,1.9436409346857615e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943640934685761838,1.4283620615416463e+18,1.0,mineral botanica, mineral botanica yang pink plss bukan karena murah tapi karena itu yang paling cocok di muka ku,mineral botanica yang pink plss bukan karena murah tapi karena itu yang paling cocok di muka ku,mineral botanica pink plss murah cocok muka ku,mineral botanica pink plss murah cocok muka ku
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica pink udh murah kalo promo under 20k isinya 100ml lagiii,1.943639018597442e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943639018597441964,1.3184001825730929e+18,1.0,mineral botanica, Mineral botanica pink udh murah kalo promo under k isinya ml lagiii,mineral botanica pink sudah murah kalo promo under kak isinya ml lagi,mineral botanica pink murah kalo promo kak isinya ml,mineral botanica pink murah kalo promo kak isi ml
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica tpi kayakny ga cocok tpi tetep dihabisin,1.9436368852234696e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943636885223469558,1.8771489800455785e+18,-1.0,mineral botanica, mineral botanica tpi kayakny ga cocok tpi tetep dihabisin,mineral botanica tapi kayakny enggak cocok tapi tetap dihabisin,mineral botanica kayakny cocok dihabisin,mineral botanica kayakny cocok dihabisin
1.94362249376945e+18,2025-07-11,0,@cagvity MINERAL BOTANICA! Harga nya murce bgt. Aku beli bulan mei tgl 6 skrg udh bulan juli masih ada setengah blm habis gausah banyak2 pake nya emang ga begitu berbusah tapi membersihkan kok,1.9436366385941716e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943636638594171330,1.5273376133333893e+18,1.0,mineral botanica, MINERAL BOTANICA Harga nya murce bgt Aku beli bulan mei tgl  skrg udh bulan juli masih ada setengah blm habis gausah banyak pake nya emang ga begitu berbusah tapi membersihkan kok,mineral botanica harga nya murce banget aku beli bulan mei tanggal sekarang sudah bulan juli masih ada setengah belum habis enggak usah banyak pakai nya memang enggak begitu berbusah tapi membersihkan kok,mineral botanica harga nya murce banget beli mei tanggal juli habis pakai nya berbusah membersihkan,mineral botanica harga nya murce banget beli mei tanggal juli habis pakai nya berbusah bersih
1.94362249376945e+18,2025-07-11,33,@cagvity Mineral botanica yang pink. Kalau lagi diskon bisa di bawah 20rb. ,1.9436361783115656e+18,cagvity,in,0,3,0,https://x.com/undefined/status/1943636178311565742,9.954824784406897e+17,1.0,mineral botanica, Mineral botanica yang pink Kalau lagi diskon bisa di bawah rb ,mineral botanica yang pink kalau lagi diskon bisa di bawah ribu,mineral botanica pink diskon ribu,mineral botanica pink diskon ribu
1.94362249376945e+18,2025-07-11,0,@cagvity aku pake mineral botanica yg biruuu,1.9436352496254976e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943635249625497731,1.457727409382314e+18,0.0,mineral botanica, aku pake mineral botanica yg biruuu,aku pakai mineral botanica yang biruuu,pakai mineral botanica biruuu,pakai mineral botanica biruuu
1.94362249376945e+18,2025-07-11,0,@cagvity pake mineral Botanica yg pink ,1.94363519467561e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943635194675609998,1.0901750222435616e+18,0.0,mineral botanica, pake mineral Botanica yg pink ,pakai mineral botanica yang pink,pakai mineral botanica pink,pakai mineral botanica pink
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yang pink itu udah terdabes,1.9436342710479468e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943634271047946671,98266817.0,1.0,mineral botanica, mineral botanica yang pink itu udah terdabes,mineral botanica yang pink itu sudah terdabes,mineral botanica pink terdabes,mineral botanica pink terdabes
1.94362249376945e+18,2025-07-11,0,@cagvity Wardah ama mineral botanica,1.9436338733569684e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943633873356968374,1.2234610844696863e+18,0.0,mineral botanica, Wardah ama mineral botanica,wardah sama mineral botanica,wardah mineral botanica,wardah mineral botanica
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral Botanica yang pinkkk ,1.9436331536353364e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943633153635336449,3856485794.0,0.0,mineral botanica, Mineral Botanica yang pinkkk ,mineral botanica yang pinkkk,mineral botanica pinkkk,mineral botanica pinkkk
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yang pink udah pake 3 tube,1.943632297971864e+18,cagvity,in,0,1,0,https://x.com/undefined/status/1943632297971863786,1.282554922886525e+18,1.0,mineral botanica, mineral botanica yang pink udah pake  tube,mineral botanica yang pink sudah pakai tube,mineral botanica pink pakai tube,mineral botanica pink pakai tube
1.94362249376945e+18,2025-07-11,0,@cagvity Mineral botanica yg pink udah beberapa kali repurcase,1.9436311828280852e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943631182828085539,1.3090849174610248e+18,1.0,mineral botanica, Mineral botanica yg pink udah beberapa kali repurcase,mineral botanica yang pink sudah beberapa kali repurcase,mineral botanica pink kali repurcase,mineral botanica pink kali repurcase
1.94362249376945e+18,2025-07-11,0,@cagvity mineral botanica yang warna biru! bersih gak bikin ketarik harum hargamya jg 26-28rb aja di e-commerce ,1.9436311223294897e+18,cagvity,in,0,0,0,https://x.com/undefined/status/1943631122329489618,1.3685244222235156e+18,1.0,mineral botanica, mineral botanica yang warna biru bersih gak bikin ketarik harum hargamya jg rb aja di ecommerce ,mineral botanica yang warna biru bersih enggak bikin tertarik harum hargamya juga ribu saja di ecommerce,mineral botanica warna biru bersih bikin tertarik harum hargamya ribu ecommerce,mineral botanica warna biru bersih bikin tarik harum hargamya ribu ecommerce
